OCC_TITLE,OCC_GROUP,TOT_EMP,A_MEAN,A_MEDIAN
Astronomers,detailed,"1,750","110,440","110,450"
Physicists,detailed,"17,340","117,040","110,110"
Atmospheric and Space Scientists,broad,"10,800","88,140","87,030"
Atmospheric and Space Scientists,detailed,"10,800","88,140","87,030"
Chemists and Materials Scientists,broad,"94,950","78,780","73,470"
Chemists,detailed,"87,560","77,740","72,350"
Materials Scientists,detailed,"7,400","91,160","88,660"
Environmental Scientists and Geoscientists,broad,"128,610","81,360","70,780"
"Environmental Scientists and Specialists, Including Health",detailed,"87,380","70,770","65,090"
"Geoscientists, Except Hydrologists and Geographers",detailed,"34,690","108,420","91,920"
Hydrologists,detailed,"6,540","79,260","75,710"
Miscellaneous Physical Scientists,broad,"23,290","94,950","93,230"
"Physical Scientists, All Other",detailed,"23,290","94,950","93,230"
Social Scientists and Related Workers,minor,"237,770","74,700","69,900"
Economists,broad,"17,230","101,450","93,070"
Economists,detailed,"17,230","101,450","93,070"
Survey Researchers,broad,"17,370","53,210","47,720"
Survey Researchers,detailed,"17,370","53,210","47,720"
Psychologists,broad,"116,390","74,310","69,500"
"Clinical, Counseling, and School Psychologists",detailed,"104,480","72,710","67,760"
Industrial-Organizational Psychologists,detailed,"1,040","87,960","80,330"
"Psychologists, All Other",detailed,"10,870","88,400","91,140"
Sociologists,broad,"2,690","78,120","72,430"
Sociologists,detailed,"2,690","78,120","72,430"
Urban and Regional Planners,broad,"35,940","67,920","65,650"
Urban and Regional Planners,detailed,"35,940","67,920","65,650"
Miscellaneous Social Scientists and Related Workers,broad,"48,160","78,700","74,860"
Anthropologists and Archeologists,detailed,"6,560","61,420","58,360"
Geographers,detailed,"1,480","75,070","74,750"
Historians,detailed,"3,200","60,010","55,180"
Political Scientists,detailed,"5,570","100,900","100,920"
"Social Scientists and Related Workers, All Other",detailed,"31,360","80,450","76,770"
"Life, Physical, and Social Science Technicians",minor,"343,440","45,770","41,940"
Agricultural and Food Science Technicians,broad,"19,390","37,010","34,790"
Agricultural and Food Science Technicians,detailed,"19,390","37,010","34,790"
Biological Technicians,broad,"71,590","43,710","40,710"
Biological Technicians,detailed,"71,590","43,710","40,710"
Chemical Technicians,broad,"63,880","46,590","43,310"
Chemical Technicians,detailed,"63,880","46,590","43,310"
Geological and Petroleum Technicians,broad,"15,190","58,780","53,410"
Geological and Petroleum Technicians,detailed,"15,190","58,780","53,410"
Nuclear Technicians,broad,"6,930","73,450","72,610"
Nuclear Technicians,detailed,"6,930","73,450","72,610"
Social Science Research Assistants,broad,"26,830","41,430","38,310"
Social Science Research Assistants,detailed,"26,830","41,430","38,310"
"Miscellaneous Life, Physical, and Social Science Technicians",broad,"139,630","45,710","42,290"
"Environmental Science and Protection Technicians, Including Health",detailed,"34,510","45,470","41,700"
Forensic Science Technicians,detailed,"13,430","57,340","54,360"
Forest and Conservation Technicians,detailed,"29,740","37,720","34,910"
"Life, Physical, and Social Science Technicians, All Other",detailed,"61,950","47,150","44,200"
Community and Social Service Occupations,major,"1,901,730","44,710","40,810"
"Counselors, Social Workers, and Other Community and Social Service Specialists",minor,"1,830,190","44,690","40,810"
Counselors,broad,"601,300","47,820","44,270"
Substance Abuse and Behavioral Disorder Counselors,detailed,"83,120","41,090","38,620"
"Educational, Guidance, School, and Vocational Counselors",detailed,"241,870","56,160","53,600"
Marriage and Family Therapists,detailed,"29,060","51,690","48,160"
Mental Health Counselors,detailed,"115,580","43,700","40,580"
Rehabilitation Counselors,detailed,"103,840","37,660","34,230"
"Counselors, All Other",detailed,"27,830","46,330","43,620"
Social Workers,broad,"591,240","48,370","45,050"
"Child, Family, and School Social Workers",detailed,"276,760","46,060","42,120"
Healthcare Social Workers,detailed,"141,830","52,520","50,820"
Mental Health and Substance Abuse Social Workers,detailed,"110,010","44,420","40,970"
"Social Workers, All Other",detailed,"62,640","56,060","56,510"
Miscellaneous Community and Social Service Specialists,broad,"637,660","38,350","34,340"
Health Educators,detailed,"56,720","53,800","49,210"
Probation Officers and Correctional Treatment Specialists,detailed,"86,810","52,910","48,440"
Social and Human Service Assistants,detailed,"355,500","31,280","29,230"
Community Health Workers,detailed,"45,800","37,640","34,610"
"Community and Social Service Specialists, All Other",detailed,"92,830","42,690","40,050"
Religious Workers,minor,"71,540","45,130","40,880"
Clergy,broad,"45,020","47,540","43,800"
Clergy,detailed,"45,020","47,540","43,800"
"Directors, Religious Activities and Education",broad,"18,600","44,240","38,160"
"Directors, Religious Activities and Education",detailed,"18,600","44,240","38,160"
Miscellaneous Religious Workers,broad,"7,920","33,520","28,750"
"Religious Workers, All Other",detailed,"7,920","33,520","28,750"
Legal Occupations,major,"1,041,700","99,620","76,100"
"Lawyers, Judges, and Related Workers",minor,"651,840","128,070","111,610"
Lawyers and Judicial Law Clerks,broad,"603,560","130,580","112,820"
Lawyers,detailed,"592,670","131,990","114,300"
Judicial Law Clerks,detailed,"10,890","53,890","47,640"
"Judges, Magistrates, and Other Judicial Workers",broad,"48,280","96,690","93,520"
"Administrative Law Judges, Adjudicators, and Hearing Officers",detailed,"14,270","89,630","87,190"
"Arbitrators, Mediators, and Conciliators",detailed,"6,830","76,840","60,450"
"Judges, Magistrate Judges, and Magistrates",detailed,"27,190","105,380","118,150"
Legal Support Workers,minor,"389,860","52,040","47,340"
Paralegals and Legal Assistants,broad,"271,320","51,170","47,570"
Paralegals and Legal Assistants,detailed,"271,320","51,170","47,570"
Miscellaneous Legal Support Workers,broad,"118,540","54,020","46,870"
Court Reporters,detailed,"19,200","54,760","49,560"
"Title Examiners, Abstractors, and Searchers",detailed,"53,640","47,340","42,830"
"Legal Support Workers, All Other",detailed,"45,700","61,560","52,560"
"Education, Training, and Library Occupations",major,"8,400,640","51,500","46,140"
Postsecondary Teachers,minor,"1,511,280","74,620","62,920"
"Business Teachers, Postsecondary",broad,"85,220","89,100","75,120"
"Business Teachers, Postsecondary",detailed,"85,220","89,100","75,120"
"Math and Computer Teachers, Postsecondary",broad,"89,740","76,910","68,680"
"Computer Science Teachers, Postsecondary",detailed,"35,770","80,990","73,100"
"Mathematical Science Teachers, Postsecondary",detailed,"53,970","74,210","65,930"
"Engineering and Architecture Teachers, Postsecondary",broad,"42,210","98,930","90,640"
"Architecture Teachers, Postsecondary",detailed,"7,340","80,180","72,550"
"Engineering Teachers, Postsecondary",detailed,"34,870","102,880","94,460"
"Life Sciences Teachers, Postsecondary",broad,"62,500","86,860","77,270"
"Agricultural Sciences Teachers, Postsecondary",detailed,"10,120","86,710","83,060"
"Biological Science Teachers, Postsecondary",detailed,"50,230","87,080","75,740"
"Forestry and Conservation Science Teachers, Postsecondary",detailed,"2,140","82,620","81,630"
"Physical Sciences Teachers, Postsecondary",broad,"50,650","87,330","76,860"
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",detailed,"10,690","90,830","81,640"
"Chemistry Teachers, Postsecondary",detailed,"20,820","83,330","72,670"
"Environmental Science Teachers, Postsecondary",detailed,"5,130","87,450","78,490"
"Physics Teachers, Postsecondary",detailed,"14,010","90,570","80,590"
"Social Sciences Teachers, Postsecondary",broad,"119,940","80,500","71,430"
"Anthropology and Archeology Teachers, Postsecondary",detailed,"5,920","83,190","75,930"
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",detailed,"9,700","77,550","66,770"
"Economics Teachers, Postsecondary",detailed,"13,600","100,490","90,070"
"Geography Teachers, Postsecondary",detailed,"4,400","73,980","70,500"
"Political Science Teachers, Postsecondary",detailed,"17,660","84,110","73,760"
"Psychology Teachers, Postsecondary",detailed,"40,380","76,060","68,980"
"Sociology Teachers, Postsecondary",detailed,"17,200","74,470","67,940"
"Social Sciences Teachers, Postsecondary, All Other",detailed,"11,080","79,490","68,230"
"Health Teachers, Postsecondary",broad,"220,120","96,760","77,060"
"Health Specialties Teachers, Postsecondary",detailed,"163,850","105,880","85,030"
"Nursing Instructors and Teachers, Postsecondary",detailed,"56,270","70,200","65,940"
"Education and Library Science Teachers, Postsecondary",broad,"67,860","66,150","60,770"
"Education Teachers, Postsecondary",detailed,"63,190","65,630","60,170"
"Library Science Teachers, Postsecondary",detailed,"4,670","73,260","67,740"
"Law, Criminal Justice, and Social Work Teachers, Postsecondary",broad,"41,240","87,190","69,220"
"Criminal Justice and Law Enforcement Teachers, Postsecondary",detailed,"14,870","61,850","56,980"
"Law Teachers, Postsecondary",detailed,"15,600","122,280","105,080"
"Social Work Teachers, Postsecondary",detailed,"10,780","71,380","64,280"
"Arts, Communications, and Humanities Teachers, Postsecondary",broad,"275,820","70,530","62,440"
"Art, Drama, and Music Teachers, Postsecondary",detailed,"92,930","72,630","62,830"
"Communications Teachers, Postsecondary",detailed,"29,920","69,620","63,570"
"English Language and Literature Teachers, Postsecondary",detailed,"75,320","68,360","60,920"
"Foreign Language and Literature Teachers, Postsecondary",detailed,"30,590","66,300","58,620"
"History Teachers, Postsecondary",detailed,"23,640","74,100","66,790"
"Philosophy and Religion Teachers, Postsecondary",detailed,"23,430","72,200","65,540"
