OCC_TITLE,OCC_GROUP,TOT_EMP,A_MEAN,A_MEDIAN
Postal Service Mail Carriers,detailed,"307,490","50,890","56,490"
"Postal Service Mail Sorters, Processors, and Processing Machine Operators",detailed,"121,580","48,040","53,830"
"Production, Planning, and Expediting Clerks",broad,"281,930","46,390","44,630"
"Production, Planning, and Expediting Clerks",detailed,"281,930","46,390","44,630"
"Shipping, Receiving, and Traffic Clerks",broad,"677,450","31,060","29,320"
"Shipping, Receiving, and Traffic Clerks",detailed,"677,450","31,060","29,320"
Stock Clerks and Order Fillers,broad,"1,800,410","24,940","22,480"
Stock Clerks and Order Fillers,detailed,"1,800,410","24,940","22,480"
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",broad,"69,990","30,340","28,370"
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",detailed,"69,990","30,340","28,370"
Secretaries and Administrative Assistants,minor,"3,647,870","38,250","35,660"
Secretaries and Administrative Assistants,broad,"3,647,870","38,250","35,660"
Executive Secretaries and Executive Administrative Assistants,detailed,"755,210","51,870","49,290"
Legal Secretaries,detailed,"220,680","45,030","42,390"
Medical Secretaries,detailed,"512,970","33,140","31,890"
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",detailed,"2,159,000","34,000","32,840"
Other Office and Administrative Support Workers,minor,"3,879,380","31,110","29,150"
Computer Operators,broad,"67,450","40,040","38,870"
Computer Operators,detailed,"67,450","40,040","38,870"
Data Entry and Information Processing Workers,broad,"295,850","31,790","30,450"
Data Entry Keyers,detailed,"207,660","29,670","28,470"
Word Processors and Typists,detailed,"88,200","36,770","36,020"
Desktop Publishers,broad,"14,360","41,130","37,850"
Desktop Publishers,detailed,"14,360","41,130","37,850"
Insurance Claims and Policy Processing Clerks,broad,"236,160","38,010","36,230"
Insurance Claims and Policy Processing Clerks,detailed,"236,160","38,010","36,230"
"Mail Clerks and Mail Machine Operators, Except Postal Service",broad,"99,140","28,760","27,450"
"Mail Clerks and Mail Machine Operators, Except Postal Service",detailed,"99,140","28,760","27,450"
"Office Clerks, General",broad,"2,832,010","29,990","28,050"
"Office Clerks, General",detailed,"2,832,010","29,990","28,050"
"Office Machine Operators, Except Computer",broad,"66,840","29,710","28,100"
"Office Machine Operators, Except Computer",detailed,"66,840","29,710","28,100"
Proofreaders and Copy Markers,broad,"11,260","35,300","33,130"
Proofreaders and Copy Markers,detailed,"11,260","35,300","33,130"
Statistical Assistants,broad,"15,640","42,530","41,430"
Statistical Assistants,detailed,"15,640","42,530","41,430"
Miscellaneous Office and Administrative Support Workers,broad,"240,670","34,000","32,000"
"Office and Administrative Support Workers, All Other",detailed,"240,670","34,000","32,000"
"Farming, Fishing, and Forestry Occupations",major,"435,250","24,330","19,380"
"Supervisors of Farming, Fishing, and Forestry Workers",minor,"18,540","45,940","43,480"
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",broad,"18,540","45,940","43,480"
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",detailed,"18,540","45,940","43,480"
Agricultural Workers,minor,"373,350","22,080","19,060"
Agricultural Inspectors,broad,"13,740","43,600","42,680"
Agricultural Inspectors,detailed,"13,740","43,600","42,680"
Animal Breeders,broad,"1,240","40,310","37,950"
Animal Breeders,detailed,"1,240","40,310","37,950"
"Graders and Sorters, Agricultural Products",broad,"38,120","21,000","19,220"
"Graders and Sorters, Agricultural Products",detailed,"38,120","21,000","19,220"
Miscellaneous Agricultural Workers,broad,"320,250","21,210","18,940"
Agricultural Equipment Operators,detailed,"22,650","27,740","26,170"
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",detailed,"261,720","20,080","18,710"
"Farmworkers, Farm, Ranch, and Aquacultural Animals",detailed,"31,000","24,760","22,650"
"Agricultural Workers, All Other",detailed,"4,870","29,170","24,390"
Fishing and Hunting Workers,minor,560,"36,250","34,830"
Fishers and Related Fishing Workers,broad,480,"36,840","35,270"
Fishers and Related Fishing Workers,detailed,480,"36,840","35,270"
"Forest, Conservation, and Logging Workers",minor,"42,800","34,510","33,050"
Forest and Conservation Workers,broad,"6,940","28,860","25,770"
Forest and Conservation Workers,detailed,"6,940","28,860","25,770"
Logging Workers,broad,"35,870","35,600","34,070"
Fallers,detailed,"5,790","40,550","34,530"
Logging Equipment Operators,detailed,"24,490","34,700","34,080"
Log Graders and Scalers,detailed,"2,780","34,090","33,070"
"Logging Workers, All Other",detailed,"2,810","34,680","34,190"
Construction and Extraction Occupations,major,"5,088,030","45,630","40,670"
Supervisors of Construction and Extraction Workers,minor,"467,130","63,860","60,380"
First-Line Supervisors of Construction Trades and Extraction Workers,broad,"467,130","63,860","60,380"
First-Line Supervisors of Construction Trades and Extraction Workers,detailed,"467,130","63,860","60,380"
Construction Trades Workers,minor,"3,760,870","44,510","39,540"
Boilermakers,broad,"15,950","57,920","57,690"
Boilermakers,detailed,"15,950","57,920","57,690"
"Brickmasons, Blockmasons, and Stonemasons",broad,"69,150","49,090","45,080"
Brickmasons and Blockmasons,detailed,"58,730","50,700","46,610"
Stonemasons,detailed,"10,410","39,990","36,480"
Carpenters,broad,"580,570","44,980","40,500"
Carpenters,detailed,"580,570","44,980","40,500"
"Carpet, Floor, and Tile Installers and Finishers",broad,"68,950","41,210","36,570"
Carpet Installers,detailed,"24,640","40,330","35,760"
"Floor Layers, Except Carpet, Wood, and Hard Tiles",detailed,"10,020","39,840","35,930"
Floor Sanders and Finishers,detailed,"4,200","36,810","35,240"
Tile and Marble Setters,detailed,"30,090","43,010","37,570"
"Cement Masons, Concrete Finishers, and Terrazzo Workers",broad,"145,120","40,660","36,180"
Cement Masons and Concrete Finishers,detailed,"141,910","40,610","36,130"
Terrazzo Workers and Finishers,detailed,"3,220","43,030","39,100"
Construction Laborers,broad,"824,970","35,020","30,460"
Construction Laborers,detailed,"824,970","35,020","30,460"
Construction Equipment Operators,broad,"400,280","46,410","41,930"
"Paving, Surfacing, and Tamping Equipment Operators",detailed,"55,720","41,720","37,780"
Pile-Driver Operators,detailed,"3,620","56,220","49,730"
Operating Engineers and Other Construction Equipment Operators,detailed,"340,950","47,080","42,540"
"Drywall Installers, Ceiling Tile Installers, and Tapers",broad,"96,080","44,090","37,830"
Drywall and Ceiling Tile Installers,detailed,"79,950","43,160","37,210"
Tapers,detailed,"16,120","48,690","43,890"
Electricians,broad,"542,680","53,560","50,510"
Electricians,detailed,"542,680","53,560","50,510"
Glaziers,broad,"44,050","42,560","37,600"
Glaziers,detailed,"44,050","42,560","37,600"
Insulation Workers,broad,"51,600","42,380","36,450"
"Insulation Workers, Floor, Ceiling, and Wall",detailed,"23,850","36,940","32,890"
"Insulation Workers, Mechanical",detailed,"27,740","47,060","40,500"
Painters and Paperhangers,broad,"196,350","39,280","35,370"
"Painters, Construction and Maintenance",detailed,"192,890","39,290","35,390"
Paperhangers,detailed,"3,460","38,410","33,670"
"Pipelayers, Plumbers, Pipefitters, and Steamfitters",broad,"392,460","52,390","48,480"
Pipelayers,detailed,"41,080","40,120","36,280"
"Plumbers, Pipefitters, and Steamfitters",detailed,"351,380","53,820","50,180"
Plasterers and Stucco Masons,broad,"20,600","41,490","36,680"
Plasterers and Stucco Masons,detailed,"20,600","41,490","36,680"
Reinforcing Iron and Rebar Workers,broad,"17,280","54,430","51,010"
Reinforcing Iron and Rebar Workers,detailed,"17,280","54,430","51,010"
Roofers,broad,"99,060","38,790","35,520"
Roofers,detailed,"99,060","38,790","35,520"
Sheet Metal Workers,broad,"134,110","47,440","43,890"
Sheet Metal Workers,detailed,"134,110","47,440","43,890"
Structural Iron and Steel Workers,broad,"57,480","51,590","46,520"
Structural Iron and Steel Workers,detailed,"57,480","51,590","46,520"
Solar Photovoltaic Installers,broad,"4,130","41,820","39,600"
Solar Photovoltaic Installers,detailed,"4,130","41,820","39,600"
"Helpers, Construction Trades",minor,"216,320","28,400","26,990"
"Helpers, Construction Trades",broad,"216,320","28,400","26,990"
"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",detailed,"24,280","30,860","28,260"
Helpers--Carpenters,detailed,"37,400","27,450","26,090"
Helpers--Electricians,detailed,"63,660","28,920","27,720"
"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",detailed,"11,640","26,370","24,900"
"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",detailed,"47,160","28,460","27,430"
Helpers--Roofers,detailed,"13,130","25,910","24,320"
"Helpers, Construction Trades, All Other",detailed,"19,050","28,160","26,480"
Other Construction and Related Workers,minor,"379,760","44,500","40,340"
Construction and Building Inspectors,broad,"87,620","56,430","54,450"
Construction and Building Inspectors,detailed,"87,620","56,430","54,450"
Elevator Installers and Repairers,broad,"21,270","76,220","78,640"
Elevator Installers and Repairers,detailed,"21,270","76,220","78,640"
Fence Erectors,broad,"19,960","33,000","31,240"
Fence Erectors,detailed,"19,960","33,000","31,240"
Hazardous Materials Removal Workers,broad,"40,290","42,220","37,930"
Hazardous Materials Removal Workers,detailed,"40,290","42,220","37,930"
Highway Maintenance Workers,broad,"139,070","36,980","35,870"
Highway Maintenance Workers,detailed,"139,070","36,980","35,870"
Rail-Track Laying and Maintenance Equipment Operators,broad,"15,590","46,260","46,270"
Rail-Track Laying and Maintenance Equipment Operators,detailed,"15,590","46,260","46,270"
Septic Tank Servicers and Sewer Pipe Cleaners,broad,"24,030","36,660","34,520"
Septic Tank Servicers and Sewer Pipe Cleaners,detailed,"24,030","36,660","34,520"
Miscellaneous Construction and Related Workers,broad,"31,920","38,510","35,200"
Segmental Pavers,detailed,"1,110","35,290","32,800"
"Construction and Related Workers, All Other",detailed,"30,810","38,620","35,300"
Extraction Workers,minor,"263,940","45,050","41,270"
"Derrick, Rotary Drill, and Service Unit Operators, Oil, Gas, and Mining",broad,"108,790","51,570","45,320"
"Derrick Operators, Oil and Gas",detailed,"22,400","48,830","47,090"
"Rotary Drill Operators, Oil and Gas",detailed,"27,130","61,110","51,570"
"Service Unit Operators, Oil, Gas, and Mining",detailed,"59,260","48,230","42,790"
"Earth Drillers, Except Oil and Gas",broad,"17,620","46,060","42,600"
"Earth Drillers, Except Oil and Gas",detailed,"17,620","46,060","42,600"
"Explosives Workers, Ordnance Handling Experts, and Blasters",broad,"6,540","50,310","49,270"
"Explosives Workers, Ordnance Handling Experts, and Blasters",detailed,"6,540","50,310","49,270"
Mining Machine Operators,broad,"21,780","49,320","50,410"
Continuous Mining Machine Operators,detailed,"12,180","49,870","50,820"
Mine Cutting and Channeling Machine Operators,detailed,"6,850","48,490","49,840"
"Mining Machine Operators, All Other",detailed,"2,740","48,990","50,130"
"Rock Splitters, Quarry",broad,"4,130","34,350","32,790"
"Rock Splitters, Quarry",detailed,"4,130","34,350","32,790"
"Roof Bolters, Mining",broad,"5,880","54,590","54,780"
"Roof Bolters, Mining",detailed,"5,880","54,590","54,780"
"Roustabouts, Oil and Gas",broad,"68,230","36,170","34,560"
"Roustabouts, Oil and Gas",detailed,"68,230","36,170","34,560"
Helpers--Extraction Workers,broad,"23,020","35,120","33,910"
Helpers--Extraction Workers,detailed,"23,020","35,120","33,910"
Miscellaneous Extraction Workers,broad,"7,960","41,040","39,570"
"Extraction Workers, All Other",detailed,"7,960","41,040","39,570"
"Installation, Maintenance, and Repair Occupations",major,"5,138,130","44,420","41,440"
"Supervisors of Installation, Maintenance, and Repair Workers",minor,"428,620","63,490","61,220"
"First-Line Supervisors of Mechanics, Installers, and Repairers",broad,"428,620","63,490","61,220"
"First-Line Supervisors of Mechanics, Installers, and Repairers",detailed,"428,620","63,490","61,220"
"Electrical and Electronic Equipment Mechanics, Installers, and Repairers",minor,"570,200","48,880","46,930"
"Computer, Automated Teller, and Office Machine Repairers",broad,"110,850","38,310","36,390"
"Computer, Automated Teller, and Office Machine Repairers",detailed,"110,850","38,310","36,390"
Radio and Telecommunications Equipment Installers and Repairers,broad,"223,440","53,670","54,180"
"Radio, Cellular, and Tower Equipment Installers and Repairers",detailed,"14,090","48,380","46,260"
"Telecommunications Equipment Installers and Repairers, Except Line Installers",detailed,"209,350","54,030","54,760"
"Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers",broad,"235,910","49,320","47,610"
Avionics Technicians,detailed,"17,310","56,940","55,990"
"Electric Motor, Power Tool, and Related Repairers",detailed,"18,490","40,500","38,030"
"Electrical and Electronics Installers and Repairers, Transportation Equipment",detailed,"15,340","53,970","52,830"
"Electrical and Electronics Repairers, Commercial and Industrial Equipment",detailed,"67,410","54,230","53,400"
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",detailed,"23,210","68,270","69,720"
"Electronic Equipment Installers and Repairers, Motor Vehicles",detailed,"11,900","33,570","31,230"
Electronic Home Entertainment Equipment Installers and Repairers,detailed,"26,960","37,310","35,660"
Security and Fire Alarm Systems Installers,detailed,"55,300","43,870","42,000"
"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",minor,"1,463,720","41,330","38,740"
Aircraft Mechanics and Service Technicians,broad,"115,410","57,610","55,980"
Aircraft Mechanics and Service Technicians,detailed,"115,410","57,610","55,980"
Automotive Technicians and Repairers,broad,"755,550","39,880","36,990"
Automotive Body and Related Repairers,detailed,"134,650","42,620","38,850"
Automotive Glass Installers and Repairers,detailed,"15,910","33,050","32,310"
Automotive Service Technicians and Mechanics,detailed,"604,990","39,450","36,710"
Bus and Truck Mechanics and Diesel Engine Specialists,broad,"238,150","44,120","42,730"
Bus and Truck Mechanics and Diesel Engine Specialists,detailed,"238,150","44,120","42,730"
Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics,broad,"170,720","45,710","44,830"
Farm Equipment Mechanics and Service Technicians,detailed,"34,840","36,390","35,470"
"Mobile Heavy Equipment Mechanics, Except Engines",detailed,"116,590","47,830","46,870"
Rail Car Repairers,detailed,"19,290","49,700","50,600"
Small Engine Mechanics,broad,"62,860","34,590","32,980"
Motorboat Mechanics and Service Technicians,detailed,"19,650","37,430","36,090"
Motorcycle Mechanics,detailed,"14,960","35,400","33,590"
Outdoor Power Equipment and Other Small Engine Mechanics,detailed,"28,250","32,180","30,540"
"Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",broad,"121,020","26,660","24,380"
Bicycle Repairers,detailed,"10,450","26,160","25,420"
Recreational Vehicle Service Technicians,detailed,"11,200","36,790","35,140"
Tire Repairers and Changers,detailed,"99,370","25,570","23,590"
"Other Installation, Maintenance, and Repair Occupations",minor,"2,675,590","42,100","39,210"
Control and Valve Installers and Repairers,broad,"57,990","49,570","46,500"
Mechanical Door Repairers,detailed,"17,050","39,000","36,670"
"Control and Valve Installers and Repairers, Except Mechanical Door",detailed,"40,940","53,970","52,980"
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",broad,"251,700","46,110","43,880"
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",detailed,"251,700","46,110","43,880"
Home Appliance Repairers,broad,"32,920","37,220","35,150"
Home Appliance Repairers,detailed,"32,920","37,220","35,150"
"Industrial Machinery Installation, Repair, and Maintenance Workers",broad,"436,800","48,340","46,670"
Industrial Machinery Mechanics,detailed,"306,860","49,560","47,910"
"Maintenance Workers, Machinery",detailed,"89,510","43,010","41,600"
Millwrights,detailed,"38,680","51,130","50,030"
"Refractory Materials Repairers, Except Brickmasons",detailed,"1,750","43,410","43,220"
Line Installers and Repairers,broad,"231,400","57,890","59,750"
Electrical Power-Line Installers and Repairers,detailed,"111,350","63,380","64,170"
Telecommunications Line Installers and Repairers,detailed,"120,050","52,790","52,630"
Precision Instrument and Equipment Repairers,broad,"64,730","45,790","43,220"
Camera and Photographic Equipment Repairers,detailed,"3,180","39,700","37,430"
Medical Equipment Repairers,detailed,"40,090","47,120","44,180"
Musical Instrument Repairers and Tuners,detailed,"7,240","34,990","31,750"
Watch Repairers,detailed,"2,840","37,970","35,460"
"Precision Instrument and Equipment Repairers, All Other",detailed,"11,390","51,600","51,310"
"Maintenance and Repair Workers, General",broad,"1,249,080","37,710","35,640"
"Maintenance and Repair Workers, General",detailed,"1,249,080","37,710","35,640"
Wind Turbine Service Technicians,broad,"3,290","53,050","49,490"
Wind Turbine Service Technicians,detailed,"3,290","53,050","49,490"
"Miscellaneous Installation, Maintenance, and Repair Workers",broad,"347,690","35,060","31,520"
"Coin, Vending, and Amusement Machine Servicers and Repairers",detailed,"33,250","32,840","31,530"
Commercial Divers,detailed,"3,600","54,880","47,930"
"Fabric Menders, Except Garment",detailed,800,"27,910","25,460"
Locksmiths and Safe Repairers,detailed,"17,400","39,820","37,950"
Manufactured Building and Mobile Home Installers,detailed,"3,510","31,210","28,940"
Riggers,detailed,"17,330","44,180","42,270"
Signal and Track Switch Repairers,detailed,"7,960","55,810","55,640"
"Helpers--Installation, Maintenance, and Repair Workers",detailed,"127,820","27,120","24,500"
"Installation, Maintenance, and Repair Workers, All Other",detailed,"136,010","39,700","36,740"
Production Occupations,major,"8,765,180","34,930","31,250"
Supervisors of Production Workers,minor,"580,620","58,150","54,690"
First-Line Supervisors of Production and Operating Workers,broad,"580,620","58,150","54,690"
First-Line Supervisors of Production and Operating Workers,detailed,"580,620","58,150","54,690"
Assemblers and Fabricators,minor,"1,757,500","31,400","28,960"
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",broad,"42,810","49,580","47,330"
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",detailed,"42,810","49,580","47,330"
"Electrical, Electronics, and Electromechanical Assemblers",broad,"267,950","31,830","29,770"
"Coil Winders, Tapers, and Finishers",detailed,"14,590","32,320","31,380"
Electrical and Electronic Equipment Assemblers,detailed,"203,880","31,350","29,130"
Electromechanical Equipment Assemblers,detailed,"49,480","33,630","31,810"
Engine and Other Machine Assemblers,broad,"39,620","39,060","37,300"
Engine and Other Machine Assemblers,detailed,"39,620","39,060","37,300"
Structural Metal Fabricators and Fitters,broad,"77,860","37,840","36,370"
Structural Metal Fabricators and Fitters,detailed,"77,860","37,840","36,370"
Miscellaneous Assemblers and Fabricators,broad,"1,329,260","30,120","27,730"
Fiberglass Laminators and Fabricators,detailed,"18,800","29,620","28,450"
Team Assemblers,detailed,"1,058,100","30,590","28,170"
Timing Device Assemblers and Adjusters,detailed,"1,460","31,410","27,130"
"Assemblers and Fabricators, All Other",detailed,"250,900","28,190","25,720"
Food Processing Workers,minor,"753,020","26,530","24,660"
Bakers,broad,"165,270","25,120","23,160"
Bakers,detailed,"165,270","25,120","23,160"
"Butchers and Other Meat, Poultry, and Fish Processing Workers",broad,"381,890","26,400","24,870"
Butchers and Meat Cutters,detailed,"138,900","29,950","28,360"
"Meat, Poultry, and Fish Cutters and Trimmers",detailed,"160,920","23,850","23,120"
Slaughterers and Meat Packers,detailed,"82,070","25,400","24,980"
Miscellaneous Food Processing Workers,broad,"205,860","27,890","25,840"
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",detailed,"18,750","29,410","27,800"
Food Batchmakers,detailed,"109,660","28,560","26,560"
Food Cooking Machine Operators and Tenders,detailed,"34,040","28,410","26,750"
"Food Processing Workers, All Other",detailed,"43,400","25,110","23,450"
Metal Workers and Plastic Workers,minor,"1,887,930","37,510","35,610"
Computer Control Programmers and Operators,broad,"164,270","39,070","37,170"
"Computer-Controlled Machine Tool Operators, Metal and Plastic",detailed,"139,930","37,310","35,900"
"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",detailed,"24,340","49,170","46,510"
"Forming Machine Setters, Operators, and Tenders, Metal and Plastic",broad,"128,250","34,690","33,580"
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,"73,140","33,160","32,270"
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,"22,570","35,120","33,570"
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,"32,550","37,830","37,030"
"Machine Tool Cutting Setters, Operators, and Tenders, Metal and Plastic",broad,"344,000","33,350","31,740"
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,"187,640","31,520","29,950"
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed,"19,880","36,580","34,270"
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed,"70,910","33,850","32,220"
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed,"41,730","36,890","35,740"
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,"23,850","37,400","35,790"
Machinists,broad,"391,130","41,020","39,570"
Machinists,detailed,"391,130","41,020","39,570"
"Metal Furnace Operators, Tenders, Pourers, and Casters",broad,"32,250","39,110","38,560"
Metal-Refining Furnace Operators and Tenders,detailed,"21,930","40,750","40,540"
"Pourers and Casters, Metal",detailed,"10,320","35,630","33,600"
"Model Makers and Patternmakers, Metal and Plastic",broad,"10,360","45,560","44,320"
"Model Makers, Metal and Plastic",detailed,"6,200","47,920","46,080"
"Patternmakers, Metal and Plastic",detailed,"4,160","42,030","41,820"
"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic",broad,"137,910","30,440","28,630"
Foundry Mold and Coremakers,detailed,"13,100","31,350","30,340"
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,"124,810","30,340","28,450"
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",broad,"93,100","35,400","34,330"
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed,"93,100","35,400","34,330"
Tool and Die Makers,broad,"78,700","49,390","47,960"
Tool and Die Makers,detailed,"78,700","49,390","47,960"
"Welding, Soldering, and Brazing Workers",broad,"403,100","38,700","36,430"
"Welders, Cutters, Solderers, and Brazers",detailed,"352,250","39,110","36,720"
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",detailed,"50,860","35,800","34,410"
Miscellaneous Metal Workers and Plastic Workers,broad,"104,850","35,560","33,370"
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",detailed,"21,500","35,930","34,660"
"Layout Workers, Metal and Plastic",detailed,"13,420","43,740","43,040"
"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,"36,120","32,280","30,140"
"Tool Grinders, Filers, and Sharpeners",detailed,"11,540","36,060","34,310"
"Metal Workers and Plastic Workers, All Other",detailed,"22,270","35,340","32,510"
Printing Workers,minor,"256,620","35,750","34,180"
Printing Workers,broad,"256,620","35,750","34,180"
Prepress Technicians and Workers,detailed,"38,000","39,150","37,440"
Printing Press Operators,detailed,"166,620","36,350","34,920"
Print Binding and Finishing Workers,detailed,"52,000","31,330","29,480"
"Textile, Apparel, and Furnishings Workers",minor,"573,650","24,390","22,190"
Laundry and Dry-Cleaning Workers,broad,"197,650","21,750","20,090"
Laundry and Dry-Cleaning Workers,detailed,"197,650","21,750","20,090"
"Pressers, Textile, Garment, and Related Materials",broad,"51,520","20,870","19,860"
"Pressers, Textile, Garment, and Related Materials",detailed,"51,520","20,870","19,860"
Sewing Machine Operators,broad,"143,370","23,400","21,490"
Sewing Machine Operators,detailed,"143,370","23,400","21,490"
Shoe and Leather Workers,broad,"10,760","26,000","24,290"
Shoe and Leather Workers and Repairers,detailed,"6,460","26,730","25,030"
Shoe Machine Operators and Tenders,detailed,"4,300","24,890","23,120"
"Tailors, Dressmakers, and Sewers",broad,"27,100","28,360","24,890"
"Sewers, Hand",detailed,"5,700","24,720","23,610"
"Tailors, Dressmakers, and Custom Sewers",detailed,"21,400","29,330","25,590"
"Textile Machine Setters, Operators, and Tenders",broad,"75,060","26,390","25,820"
Textile Bleaching and Dyeing Machine Operators and Tenders,detailed,"11,680","25,710","24,500"
"Textile Cutting Machine Setters, Operators, and Tenders",detailed,"15,160","26,180","24,960"
"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",detailed,"22,200","27,370","26,850"
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",detailed,"26,020","25,990","25,860"
"Miscellaneous Textile, Apparel, and Furnishings Workers",broad,"68,180","32,740","30,200"
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",detailed,"18,890","32,540","31,760"
Fabric and Apparel Patternmakers,detailed,"6,060","45,700","40,130"
Upholsterers,detailed,"28,790","32,170","30,750"
"Textile, Apparel, and Furnishings Workers, All Other",detailed,"14,440","28,680","26,030"
Woodworkers,minor,"215,240","30,340","28,630"
Cabinetmakers and Bench Carpenters,broad,"82,770","32,960","31,110"
Cabinetmakers and Bench Carpenters,detailed,"82,770","32,960","31,110"
Furniture Finishers,broad,"14,470","30,140","28,470"
Furniture Finishers,detailed,"14,470","30,140","28,470"
"Model Makers and Patternmakers, Wood",broad,"2,110","36,390","32,990"
"Model Makers, Wood",detailed,"1,240","33,910","30,430"
"Patternmakers, Wood",detailed,870,"39,940","37,210"
"Woodworking Machine Setters, Operators, and Tenders",broad,"108,750","28,230","27,050"
"Sawing Machine Setters, Operators, and Tenders, Wood",detailed,"42,210","28,010","26,600"
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",detailed,"66,540","28,370","27,300"
Miscellaneous Woodworkers,broad,"7,150","30,820","27,590"
"Woodworkers, All Other",detailed,"7,150","30,820","27,590"
Plant and System Operators,minor,"310,600","55,680","54,510"
"Power Plant Operators, Distributors, and Dispatchers",broad,"58,860","70,500","70,560"
Nuclear Power Reactor Operators,detailed,"7,790","78,400","78,350"
Power Distributors and Dispatchers,detailed,"11,260","76,580","75,080"
Power Plant Operators,detailed,"39,810","67,230","68,100"
Stationary Engineers and Boiler Operators,broad,"35,960","56,190","54,630"
Stationary Engineers and Boiler Operators,detailed,"35,960","56,190","54,630"
Water and Wastewater Treatment Plant and System Operators,broad,"110,230","45,070","43,200"
Water and Wastewater Treatment Plant and System Operators,detailed,"110,230","45,070","43,200"
Miscellaneous Plant and System Operators,broad,"105,550","58,320","58,630"
Chemical Plant and System Operators,detailed,"38,890","54,690","54,730"
Gas Plant Operators,detailed,"13,890","62,770","63,680"
"Petroleum Pump System Operators, Refinery Operators, and Gaugers",detailed,"41,390","61,350","61,930"
"Plant and System Operators, All Other",detailed,"11,390","54,300","54,470"
Other Production Occupations,minor,"2,430,000","32,690","29,790"
"Chemical Processing Machine Setters, Operators, and Tenders",broad,"102,950","45,240","43,700"
Chemical Equipment Operators and Tenders,detailed,"60,450","48,470","47,730"
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",detailed,"42,510","40,660","38,330"
"Crushing, Grinding, Polishing, Mixing, and Blending Workers",broad,"179,200","34,220","32,420"
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",detailed,"30,580","34,040","32,280"
"Grinding and Polishing Workers, Hand",detailed,"31,240","29,360","27,830"
"Mixing and Blending Machine Setters, Operators, and Tenders",detailed,"117,390","35,560","33,960"
Cutting Workers,broad,"73,240","31,580","30,500"
"Cutters and Trimmers, Hand",detailed,"13,800","27,540","25,360"
"Cutting and Slicing Machine Setters, Operators, and Tenders",detailed,"59,450","32,520","31,810"
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",broad,"69,740","33,320","31,760"
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",detailed,"69,740","33,320","31,760"
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",broad,"19,840","37,320","35,450"
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",detailed,"19,840","37,320","35,450"
"Inspectors, Testers, Sorters, Samplers, and Weighers",broad,"471,750","37,860","34,940"
"Inspectors, Testers, Sorters, Samplers, and Weighers",detailed,"471,750","37,860","34,940"
Jewelers and Precious Stone and Metal Workers,broad,"22,890","40,010","35,520"
Jewelers and Precious Stone and Metal Workers,detailed,"22,890","40,010","35,520"
