Code,Volume,Percent,Openings
25-1070,92.60,35.9,131.30
25-1071,68.60,36.1,97.20
25-1072,24.00,35.4,34.20
25-1080,12.20,14.4,25.00
25-1081,11.60,14.6,23.50
25-1082,0.60,10.8,1.40
25-1110,7.30,14.9,14.60
25-1111,2.10,13.1,4.60
25-1112,3.50,17.6,6.50
25-1113,1.60,13.1,3.50
25-1120,48.90,14.7,99.00
25-1121,18.30,16.0,35.50
25-1122,4.70,12.7,10.10
25-1123,10.60,12.2,23.60
25-1124,5.50,15.3,10.80
25-1125,4.00,13.6,8.30
25-1126,6.00,19.3,10.60
25-1190,67.10,11.9,151.70
25-1191,15.50,10.3,38.00
25-1192,0.50,9.6,1.40
25-1193,2.80,12.2,6.30
25-1194,16.10,11.8,36.60
25-1199,32.20,13.0,69.50
25-2000,429.40,10.4,1401.20
25-2010,96.90,16.2,264.50
25-2011,76.40,17.4,199.40
25-2012,20.60,13.0,65.10
25-2020,244.80,12.3,683.50
25-2021,167.90,12.3,467.40
25-2022,76.00,12.4,211.20
25-2023,0.90,5.2,4.90
25-2030,57.20,5.5,340.10
25-2031,52.90,5.5,312.60
25-2032,4.30,5.0,27.50
25-2050,30.50,6.3,113.00
25-2051,3.60,16.2,7.40
25-2052,12.00,6.2,45.20
25-2053,4.90,5.2,21.10
25-2054,6.10,4.6,28.50
25-2059,3.90,9.5,10.80
25-3000,126.60,9.2,361.30
25-3011,6.70,8.7,19.90
25-3021,43.90,13.9,97.90
25-3099,75.90,7.7,243.50
25-4000,23.30,8.2,120.50
25-4010,3.30,11.4,9.70
25-4011,1.10,16.6,2.50
25-4012,1.40,12.5,3.90
25-4013,0.80,7.1,3.30
25-4021,11.00,7.4,44.40
25-4031,9.00,8.4,66.30
25-9000,133.00,8.8,435.20
25-9011,-0.10,-0.8,0.80
25-9021,1.30,9.7,2.50
25-9031,18.50,12.5,31.10
25-9041,105.00,8.6,382.60
25-9099,8.20,7.1,18.10
27-0000,180.60,7.0,799.50
27-1000,39.80,5.3,239.70
27-1010,7.80,4.0,54.30
27-1011,2.20,3.0,20.00
27-1012,0.40,3.3,3.00
27-1013,1.10,3.8,7.90
27-1014,4.30,6.3,20.60
27-1019,-0.20,-1.5,2.70
27-1020,31.90,5.7,185.40
27-1021,1.70,4.4,12.10
27-1022,-0.70,-3.0,5.90
27-1023,-5.00,-8.0,16.50
27-1024,17.40,6.7,86.00
27-1025,7.00,12.8,21.50
27-1026,10.00,10.1,36.10
27-1027,0.70,6.3,3.70
27-1029,0.80,8.0,3.50
27-2000,63.00,8.2,283.60
27-2010,6.20,3.4,66.80
27-2011,3.30,4.1,28.90
27-2012,2.90,2.8,37.90
27-2020,38.50,13.9,120.40
27-2021,1.00,6.7,5.40
27-2022,36.20,14.8,108.50
27-2023,1.30,7.7,6.50
27-2030,3.40,13.2,10.80
27-2031,0.90,5.9,5.40
27-2032,2.50,24.3,5.40
27-2040,12.20,5.0,78.30
27-2041,3.50,4.5,24.40
27-2042,8.70,5.2,53.90
27-2099,2.70,7.3,7.20
27-3000,60.20,8.3,216.20
27-3010,0.80,1.5,11.60
27-3011,0.00,-0.1,8.60
27-3012,0.80,7.6,3.00
27-3020,-7.20,-12.6,19.60
27-3021,-0.10,-2.3,2.00
27-3022,-7.10,-13.8,17.60
27-3031,27.40,12.0,58.80
27-3040,8.40,2.9,82.40
27-3041,-2.80,-2.4,28.00
27-3042,7.40,14.8,22.60
27-3043,3.80,3.0,31.80
27-3090,30.80,32.7,43.80
27-3091,29.30,46.1,38.10
27-3099,1.50,4.9,5.70
27-4000,17.60,5.4,60.00
27-4010,10.60,8.6,32.80
27-4011,9.30,13.7,21.50
27-4012,1.20,3.2,7.80
27-4013,0.00,1.2,0.30
27-4014,0.10,0.7,3.20
27-4021,5.90,4.3,20.30
27-4030,1.40,2.8,5.20
27-4031,1.20,5.5,2.80
27-4032,0.20,0.6,2.30
27-4099,-0.20,-1.5,1.90
29-0000,1732.90,21.5,3378.30
29-1000,1015.30,20.3,2042.20
29-1011,6.50,14.6,15.20
29-1020,23.30,15.9,59.10
29-1021,20.60,16.3,51.20
29-1022,1.10,16.1,2.70
29-1023,1.20,16.3,3.00
29-1024,0.10,15.0,0.20
29-1029,0.40,6.3,2.00
29-1031,14.20,21.1,22.30
29-1041,8.10,24.4,17.70
29-1051,41.40,14.5,109.80
29-1060,123.30,17.8,296.40
29-1061,8.30,24.4,16.70
29-1062,18.10,14.6,49.20
29-1063,7.30,14.1,20.10
29-1064,3.40,14.4,9.30
29-1065,5.40,15.7,14.10
29-1066,4.40,16.2,11.20
29-1067,11.10,23.2,23.10
29-1069,65.30,18.7,152.60
29-1071,33.30,38.4,48.90
29-1081,2.40,22.5,4.60
29-1120,171.80,26.7,287.20
29-1122,32.80,29.0,48.20
29-1123,73.50,36.0,123.70
29-1124,4.50,23.5,8.40
29-1125,2.70,13.4,6.70
29-1126,22.70,19.1,40.10
29-1127,26.00,19.4,46.20
29-1128,0.60,9.2,1.30
29-1129,9.10,31.7,12.50
29-1131,8.40,12.0,31.00
29-1141,526.80,19.4,1052.60
29-1151,8.80,24.9,15.60
29-1161,1.70,28.6,2.90
29-1171,37.10,33.7,58.50
29-1181,4.30,33.6,7.00
29-1199,3.70,7.9,13.50
29-2000,697.50,24.1,1274.60
29-2010,70.60,21.7,156.00
29-2011,22.70,13.8,65.80
29-2012,47.90,29.7,90.20
29-2021,64.20,33.3,113.50
29-2030,95.60,26.5,146.40
29-2031,15.70,30.4,23.00
29-2032,27.00,46.0,35.30
29-2033,4.20,20.2,7.20
29-2034,41.50,20.8,69.60
29-2035,7.10,23.6,11.30
29-2041,55.30,23.1,120.60
29-2050,143.50,21.2,210.50
29-2051,4.50,18.0,7.00
29-2052,70.70,19.9,105.90
29-2053,2.80,3.9,9.80
29-2054,2.30,16.9,3.60
29-2055,29.30,29.8,39.10
29-2056,25.00,29.5,33.40
29-2057,8.80,29.8,11.70
29-2061,182.90,24.8,363.10
29-2071,41.10,22.1,90.40
29-2081,15.80,23.4,35.30
29-2090,28.50,27.4,38.80
29-2091,3.00,35.5,3.80
29-2092,1.30,25.2,1.90
29-2099,24.20,26.7,33.10
29-9000,20.10,13.2,61.50
29-9010,5.60,7.4,26.10
29-9011,4.20,6.6,21.30
29-9012,1.40,10.9,4.80
29-9090,14.50,19.0,35.40
29-9091,4.90,21.2,11.10
29-9092,0.90,41.2,1.50
29-9099,8.80,17.1,22.80
31-0000,1155.80,28.1,1938.30
31-1000,750.30,30.1,1224.20
31-1011,424.20,48.5,590.70
31-1013,4.90,6.0,20.50
31-1014,312.20,21.1,593.60
31-1015,9.10,16.6,19.40
31-2000,65.30,40.8,101.90
31-2010,15.90,41.2,25.60
31-2011,12.90,42.6,20.50
31-2012,3.00,36.2,5.10
31-2020,49.40,40.7,76.30
31-2021,29.30,41.0,45.10
31-2022,20.10,40.1,31.20
31-9000,340.20,23.3,612.20
31-9011,30.00,22.6,44.10
31-9090,310.20,23.4,568.20
31-9091,74.40,24.5,137.20
31-9092,162.90,29.0,269.90
31-9093,10.40,20.3,20.30
31-9094,6.40,7.6,22.40
31-9095,4.80,11.1,12.90
31-9096,7.10,9.5,21.30
31-9097,27.10,26.7,46.40
31-9099,17.20,16.0,37.70
33-0000,263.00,7.9,1146.80
33-1000,16.40,5.8,105.40
33-1010,6.90,4.6,53.70
33-1011,1.90,4.0,18.00
33-1012,5.00,4.9,35.70
33-1021,3.90,6.3,30.50
33-1099,5.50,8.0,21.20
33-2000,21.10,6.6,109.00
33-2011,20.30,6.6,104.00
33-2020,0.80,5.7,5.00
33-2021,0.80,6.2,4.40
33-2022,0.10,2.8,0.60
33-3000,64.40,5.1,425.50
33-3010,23.00,4.9,147.80
33-3011,0.90,5.3,5.40
33-3012,22.10,4.9,142.40
33-3021,2.30,2.0,27.70
33-3031,0.10,1.2,2.00
33-3041,0.00,-0.2,2.80
33-3050,39.00,5.9,245.30
33-3051,38.80,5.9,243.90
33-3052,0.10,3.4,1.40
33-9000,161.20,11.0,507.00
