Hammond,LA,3665,3700,0.95
Hanford,CA,5014,5445,8.60
Corcoran,CA,5014,5445,8.60
Harrisburg,PA,30864,31784,2.98
Carlisle,PA,30864,31784,2.98
Harrisonburg,VA,7055,7127,1.02
Hartford,CT,84290,86609,2.75
West Hartford,CT,84290,86609,2.75
East Hartford,CT,84290,86609,2.75
Hattiesburg,MS,5305,5458,2.88
Hickory,NC,12105,12414,2.55
Lenoir,NC,12105,12414,2.55
Morganton,NC,12105,12414,2.55
Hilton Head Island,SC,7548,7748,2.65
Bluffton,SC,7548,7748,2.65
Beaufort,SC,7548,7748,2.65
Hinesville,GA,3589,3515,-2.06
Homosassa Springs,FL,3123,3167,1.41
Hot Springs,AR,3070,3184,3.71
Houma,LA,11882,12946,8.95
Thibodaux,LA,11882,12946,8.95
Houston,TX,489186,517367,5.76
The Woodlands,TX,489186,517367,5.76
Sugar Land,TX,489186,517367,5.76
Huntington,WV,13124,13579,3.47
Ashland,KY,13124,13579,3.47
Huntsville,AL,22380,22923,2.43
Idaho Falls,ID,5333,5567,4.39
Indianapolis,IN,120343,126472,5.09
Carmel,IN,120343,126472,5.09
Anderson,IN,120343,126472,5.09
Iowa City,IA,8203,8564,4.40
Ithaca,NY,4459,4565,2.38
Jackson,MI,5258,5565,5.84
Jackson,MS,27561,28211,2.36
Jackson,TN,5643,5766,2.18
Jacksonville,FL,60137,62104,3.27
Jacksonville,NC,8080,8052,-0.35
Janesville,WI,5368,5797,7.99
Beloit,WI,5368,5797,7.99
Jefferson City,MO,6215,6524,4.97
Johnson City,TN,6066,6043,-0.38
Johnstown,PA,4250,4230,-0.47
Jonesboro,AR,4793,4940,3.07
Joplin,MO,6321,6428,1.69
Kahului,HI,7379,7512,1.80
Wailuku,HI,7379,7512,1.80
Lahaina,HI,7379,7512,1.80
Kalamazoo,MI,13322,13926,4.53
Portage,MI,13322,13926,4.53
Kankakee,IL,3538,3685,4.15
Kansas City,MO,113965,117321,2.94
Kansas City,KS,113965,117321,2.94
Kennewick,WA,10956,11450,4.51
Richland,WA,10956,11450,4.51
Killeen,TX,15721,15938,1.38
Temple,TX,15721,15938,1.38
Kingsport,TN,11087,11135,0.43
Bristol,TN,11087,11135,0.43
Bristol,VA,11087,11135,0.43
Kingston,NY,5100,5219,2.33
Knoxville,TN,35588,36414,2.32
Kokomo,IN,4018,4220,5.03
La Crosse,WI,6212,6488,4.44
Onalaska,MN,6212,6488,4.44
Lafayette,LA,29349,28620,-2.48
Lafayette,IN,9128,9175,0.51
West Lafayette,IN,9128,9175,0.51
Lake Charles,LA,14690,14858,1.14
Lake Havasu City,AZ,3731,3751,0.54
Kingman,AZ,3731,3751,0.54
Lakeland,FL,17815,18691,4.92
Winter Haven,FL,17815,18691,4.92
Lancaster,PA,22320,23171,3.81
Lansing,MI,19539,20377,4.29
East Lansing,MI,19539,20377,4.29
Laredo,TX,7063,7463,5.66
Las Cruces,NM,6226,6423,3.16
Las Vegas,NV,89083,92991,4.39
Henderson,NV,89083,92991,4.39
Paradise,NV,89083,92991,4.39
Lawrence,KS,3769,3836,1.78
Lawton,OK,4699,4880,3.85
Lebanon,PA,4336,4360,0.55
Lewiston,ID,1990,2074,4.22
Lewiston,ME,3969,4049,2.02
Auburn,ME,3969,4049,2.02
Lexington,KY,25246,26331,4.30
Fayette,KY,25246,26331,4.30
Lima,OH,5765,5938,3.00
Lincoln,NE,15887,16638,4.73
Little Rock,AR,40031,40924,2.23
North Little Rock,AR,40031,40924,2.23
Conway,AR,40031,40924,2.23
Logan,UT,4107,4388,6.84
Longview,TX,12291,12547,2.08
Longview,WA,3366,3533,4.96
Los Angeles,CA,805437,826826,2.66
Long Beach,CA,805437,826826,2.66
Anaheim,CA,805437,826826,2.66
Louisville,KY,63544,64554,1.59
Lubbock,TX,11087,11910,7.42
Lynchburg,VA,8694,8800,1.22
Macon,GA,8179,8553,4.57
Madera,CA,4505,5160,14.54
Madison,WI,40756,42896,5.25
Manchester,NH,23038,23577,2.34
Nashua,NH,23038,23577,2.34
Manhattan,KS,3019,3024,0.17
Mankato,MN,4406,4582,3.99
North Mankato,MN,4406,4582,3.99
Mansfield,OH,3858,3917,1.53
McAllen,TX,16227,17036,4.99
Edinburg,TX,16227,17036,4.99
Mission,TX,16227,17036,4.99
Medford,OR,6384,6758,5.86
Memphis,TN,66753,67936,1.77
Merced,CA,6919,7566,9.35
Miami,FL,269554,281076,4.27
Fort Lauderdale,FL,269554,281076,4.27
West Palm Beach,FL,269554,281076,4.27
Michigan City,IN,3775,3872,2.57
La Porte,IN,3775,3872,2.57
Midland,MI,3858,3923,1.68
Midland,TX,22848,25007,9.45
Milwaukee,WI,92179,94374,2.38
Waukesha,WI,92179,94374,2.38
West Allis,WI,92179,94374,2.38
Minneapolis,MN,219706,227793,3.68
St. Paul,MN,219706,227793,3.68
Bloomington,MN,219706,227793,3.68
Missoula,MT,4703,4623,-1.70
Mobile,AL,17623,18373,4.26
Modesto,CA,17004,18063,6.23
Monroe,LA,6659,6906,3.71
Monroe,MI,4142,4451,7.46
Montgomery,AL,16166,16508,2.12
Morgantown,WV,6706,7106,5.96
Morristown,TN,3586,3631,1.25
Mount Vernon,WA,5129,5413,5.54
Anacortes,WA,5129,5413,5.54
Muncie,IN,3613,3712,2.74
Muskegon,MI,5168,5332,3.17
Myrtle Beach,SC,14522,15052,3.65
Conway,SC,14522,15052,3.65
North Myrtle Beach,NC,14522,15052,3.65
Napa,CA,7604,8054,5.92
Naples,FL,13135,14370,9.40
Immokalee,FL,13135,14370,9.40
Marco Island,FL,13135,14370,9.40
Nashville,TN,97330,100841,3.61
Davidson,TN,97330,100841,3.61
Murfreesboro,TN,97330,100841,3.61
Franklin,TN,97330,100841,3.61
New Bern,NC,4922,5030,2.19
New Haven,CT,42739,44165,3.34
Milford,CT,42739,44165,3.34
New Orleans,LA,82418,81843,-0.70
Metairie,LA,82418,81843,-0.70
New York,NY,1435294,1471170,2.50
Newark,NJ,1435294,1471170,2.50
Jersey City,NJ,1435294,1471170,2.50
Niles,MI,5793,6182,6.72
Benton Harbor,MI,5793,6182,6.72
North Port,FL,24452,26064,6.59
Sarasota,FL,24452,26064,6.59
Bradenton,FL,24452,26064,6.59
Norwich,CT,15132,15368,1.56
New London,CT,15132,15368,1.56
Ocala,FL,7079,7364,4.03
Ocean City,NJ,4456,4572,2.60
Odessa,TX,8643,9328,7.93
Ogden,UT,22920,24101,5.15
Clearfield,UT,22920,24101,5.15
Oklahoma City,OK,68018,71951,5.78
Olympia,WA,9349,9769,4.49
Tumwater,WA,9349,9769,4.49
Omaha,NE,52752,54835,3.95
Council Bluffs,NE,52752,54835,3.95
Orlando,FL,106393,110443,3.81
Kissimmee,FL,106393,110443,3.81
Sanford,FL,106393,110443,3.81
Oshkosh,WI,8883,9082,2.24
Neenah,WI,8883,9082,2.24
Owensboro,KY,4959,5270,6.27
Oxnard,CA,44562,46074,3.39
Thousand Oaks,CA,44562,46074,3.39
Ventura,CA,44562,46074,3.39
Palm Bay,FL,17937,18258,1.79
Melbourne,FL,17937,18258,1.79
Titusville,FL,17937,18258,1.79
Panama City,FL,7073,7420,4.91
Parkersburg,WV,3456,3489,0.95
Vienna,WV,3456,3489,0.95
Pensacola,FL,14882,15202,2.15
Ferry Pass,FL,14882,15202,2.15
Brent,FL,14882,15202,2.15
Peoria,IL,21474,20503,-4.52
Philadelphia,PA,375652,383401,2.06
Camden,NJ,375652,383401,2.06
Wilmington,DE,375652,383401,2.06
Phoenix,AZ,203531,209523,2.94
