OCC_CODE,sal2012
31-9091,34500
31-9092,29370
31-9093,30820
31-9094,34020
31-9095,21860
31-9096,23130
31-9097,29730
31-9099,32800
33-0000,36620
33-1000,63850
33-1010,71540
33-1011,57840
33-1012,78270
33-1020,68210
33-1021,68210
33-1090,45820
33-1099,45820
33-2000,45590
33-2010,45250
33-2011,45250
33-2020,51880
33-2021,53990
33-2022,35780
33-3000,49770
33-3010,38970
33-3011,36840
33-3012,39040
33-3020,74300
33-3021,74300
33-3030,48070
33-3031,48070
33-3040,35690
33-3041,35690
33-3050,55260
33-3051,55270
33-3052,55210
33-9000,24230
33-9010,31680
33-9011,31680
33-9020,45740
33-9021,45740
33-9030,24020
33-9031,29610
33-9032,23970
33-9090,23970
33-9091,23910
33-9092,18950
33-9093,36850
33-9099,30460
35-0000,18930
35-1000,30120
35-1010,30120
35-1011,42480
35-1012,29270
35-2000,20090
35-2010,20550
35-2011,18410
35-2012,22860
35-2013,23470
35-2014,22030
35-2015,19730
35-2019,23250
35-2020,19300
35-2021,19300
35-3000,18460
35-3010,18900
35-3011,18900
35-3020,18300
35-3021,18260
35-3022,18560
35-3030,18540
35-3031,18540
35-3040,19640
35-3041,19640
35-9000,18530
35-9010,18500
35-9011,18500
35-9020,18460
35-9021,18460
35-9030,18580
35-9031,18580
35-9090,20300
35-9099,20300
37-0000,22690
37-1000,37610
37-1010,37610
37-1011,35310
37-1012,42160
37-2000,21570
37-2010,21440
37-2011,22320
37-2012,19570
37-2019,27570
37-2020,30060
37-2021,30060
37-3000,23970
37-3010,23970
37-3011,23570
37-3012,30270
37-3013,32310
37-3019,26760
39-0000,20840
39-1000,36640
39-1010,45370
39-1011,49290
39-1012,32390
39-1020,35150
39-1021,35150
39-2000,19970
39-2010,25270
39-2011,25270
39-2020,19690
39-2021,19690
39-3000,18850
39-3010,18910
39-3011,18630
39-3012,21810
39-3019,23490
39-3020,19830
39-3021,19830
39-3030,18730
39-3031,18730
39-3090,18840
39-3091,18710
39-3092,36760
39-3093,19160
39-3099,25140
39-4000,29620
39-4010,42240
39-4011,42240
39-4020,22610
39-4021,22610
39-4030,46840
39-4031,46840
39-5000,22190
39-5010,22770
39-5011,25090
39-5012,22700
39-5090,20060
39-5091,64450
39-5092,19220
39-5093,18310
39-5094,28640
39-6000,22880
39-6010,22880
39-6011,20050
39-6012,27250
39-7000,24430
39-7010,24430
39-7011,23940
39-7012,30780
39-9000,20630
39-9010,19510
39-9011,19510
39-9020,19910
39-9021,19910
39-9030,24360
39-9031,31720
39-9032,22240
39-9040,24520
39-9041,24520
39-9090,20600
39-9099,20600
41-0000,25120
41-1000,39350
41-1010,39350
41-1011,36820
41-1012,70060
41-2000,19890
41-2010,18990
41-2011,18970
41-2012,24690
41-2020,25050
41-2021,23130
41-2022,29550
41-2030,21110
41-2031,21110
41-3000,51080
41-3010,46290
41-3011,46290
41-3020,48150
41-3021,48150
41-3030,71720
41-3031,71720
41-3040,34600
41-3041,34600
41-3090,50850
41-3099,50850
41-4000,57870
41-4010,57870
41-4011,74970
41-4012,54230
41-9000,28600
41-9010,23700
41-9011,23860
41-9012,18750
41-9020,41990
41-9021,58350
41-9022,39140
41-9030,91830
41-9031,91830
41-9040,22330
41-9041,22330
41-9090,25400
41-9091,21470
41-9099,25800
43-0000,31510
43-1000,49330
43-1010,49330
43-1011,49330
43-2000,25930
43-2010,25370
43-2011,25370
43-2020,32850
43-2021,32850
43-2090,40250
43-2099,40250
43-3000,32680
43-3010,32480
43-3011,32480
43-3020,33450
43-3021,33450
43-3030,35170
43-3031,35170
43-3040,24610
43-3041,24610
43-3050,37690
43-3051,37690
43-3060,38220
43-3061,38220
43-3070,24940
43-3071,24940
43-3090,36850
43-3099,36850
43-4000,29710
43-4010,42440
43-4011,42440
43-4020,36140
43-4021,36140
43-4030,34830
43-4031,34830
43-4040,33600
43-4041,33600
43-4050,30580
43-4051,30580
43-4060,40530
43-4061,40530
43-4070,26190
43-4071,26190
43-4080,20340
43-4081,20340
43-4110,29910
43-4111,29910
43-4120,23440
43-4121,23440
43-4130,35310
43-4131,35310
43-4140,31720
43-4141,31720
43-4150,29480
43-4151,29480
43-4160,37510
43-4161,37510
43-4170,25990
43-4171,25990
43-4180,32400
43-4181,32400
43-4190,37240
43-4199,37240
43-5000,28380
43-5010,39720
43-5011,39720
43-5020,25440
43-5021,25440
43-5030,35910
43-5031,36300
43-5032,35690
43-5040,35940
43-5041,35940
43-5050,53100
43-5051,53090
43-5052,56490
43-5053,53090
43-5060,43740
43-5061,43740
43-5070,29010
43-5071,29010
43-5080,22050
43-5081,22050
43-5110,27920
43-5111,27920
43-6000,35330
43-6010,35330
43-6011,47500
43-6012,42170
43-6013,31350
43-6014,32410
43-9000,28590
43-9010,38390
43-9011,38390
43-9020,30100
43-9021,28010
43-9022,35270
43-9030,37040
43-9031,37040
43-9040,35700
43-9041,35700
43-9050,26900
43-9051,26900
43-9060,27470
43-9061,27470
43-9070,27950
43-9071,27950
43-9080,32780
43-9081,32780
43-9110,39840
43-9111,39840
43-9190,31060
43-9199,31060
45-0000,19370
45-1000,43660
45-1010,43660
45-1011,43660
45-2000,19020
45-2010,42160
45-2011,42160
45-2020,34250
45-2021,34250
