occ_code,sal2004
49-3091,         20190
49-3092,         28980
49-3093,         20810
49-9011,         32000
49-9012,         43710
49-9021,         36260
49-9031,         32180
49-9041,         39060
49-9042,         30710
49-9043,         32840
49-9044,         43720
49-9045,         37640
49-9051,         49100
49-9052,         40330
49-9061,         32330
49-9062,         37220
49-9063,         28020
49-9064,         28850
49-9069,         44200
49-9091,         28010
49-9092,         35240
49-9093,         32490
49-9094,         30360
49-9095,         23350
49-9096,         35330
49-9097,         44570
49-9098,         21310
49-9099,         33760
51-0000,         26300
51-1011,         44740
51-2011,         37000
51-2021,         25460
51-2022,         24290
51-2023,         26440
51-2031,         34800
51-2041,         29840
51-2091,         25340
51-2092,         23750
51-2093,         28610
51-2099,         24750
51-3011,         21330
51-3021,         25890
51-3022,         18900
51-3023,         20860
51-3091,         23840
51-3092,         22090
51-3093,         20850
51-4011,         30690
51-4012,         40170
51-4021,         27410
51-4022,         27500
51-4023,         29800
51-4031,         25900
51-4032,         28480
51-4033,         27440
51-4034,         31280
51-4035,         31010
51-4041,         33960
51-4051,         32740
51-4052,         28960
51-4061,         44250
51-4062,         37140
51-4071,         27810
51-4072,         24180
51-4081,         29250
51-4111,         42740
51-4121,         30620
51-4122,         29780
51-4191,         29650
51-4192,         32550
51-4193,         26960
51-4194,         30200
51-4199,         33590
51-5011,         23520
51-5012,         28530
51-5021,         32060
51-5022,         31830
51-5023,         29900
51-6011,         17220
51-6021,         17330
51-6031,         17920
51-6041,         19330
51-6042,         19630
51-6051,         18990
51-6052,         22440
51-6061,         21960
51-6062,         20380
51-6063,         23880
51-6064,         22620
51-6091,         27800
51-6092,         28810
51-6093,         25690
51-6099,         21510
51-7011,         25290
51-7021,         23610
51-7031,         26910
51-7032,         30950
51-7041,         22700
51-7042,         22740
51-7099,         21140
51-8011,         64090
51-8012,         57330
51-8013,         52530
51-8021,         44150
51-8031,         34960
51-8091,         44830
51-8092,         50680
51-8093,         50490
51-8099,         41800
51-9011,         38870
51-9012,         33230
51-9021,         26950
51-9022,         23470
51-9023,         28110
51-9031,         22030
51-9032,         26670
51-9041,         27460
51-9051,         29730
51-9061,         28410
51-9071,         27400
51-9081,         31060
51-9082,         27820
51-9083,         23710
51-9111,         22200
51-9121,         26300
51-9122,         35120
51-9123,         22770
51-9131,         20040
51-9132,         19400
51-9141,         28810
51-9191,         24070
51-9192,         23250
51-9193,         22790
51-9194,         23560
51-9195,         24080
51-9196,         30430
51-9197,         36390
51-9198,         20180
51-9199,         23670
53-0000,         23880
53-1011,         34100
53-1021,         38280
53-1031,         44810
53-2011,***
53-2012,         53870
53-2021,        102030
53-2022,         36680
53-3011,         19740
53-3021,         29730
53-3022,         23250
53-3031,         20090
53-3032,         33520
53-3033,         24540
53-3041,         19570
53-3099,         19650
53-4011,         50540
53-4012,         44840
53-4013,         36820
53-4021,         44640
53-4031,         46340
53-4041,         49290
53-4099,         40710
53-5011,         29120
53-5021,         50340
53-5022,         32020
53-5031,         54950
53-6011,         37390
53-6021,         16800
53-6031,         17240
53-6041,         33670
53-6051,         50380
53-6099,         32170
53-7011,         25430
53-7021,         37410
53-7031,         28020
53-7032,         31970
53-7033,         33250
53-7041,         33680
53-7051,         26580
53-7061,         17490
53-7062,         20120
53-7063,         22210
53-7064,         17150
53-7071,         43820
53-7072,         35450
53-7073,         33930
53-7081,         25760
53-7111,         37610
53-7121,         32440
53-7199,         28850
